airport￨NN￨root￨ROOT
one￨CD￨nummod￨way way￨NN￨root￨ROOT
ci0￨NNP￨compound￨airport airport￨NN￨root￨ROOT
ground￨NN￨root￨ROOT ci0￨.￨punct￨ground
code￨NN￨compound￨al0 al0￨NN￨root￨ROOT
ci0￨NNP￨compound￨airport airport￨NN￨root￨ROOT
al0￨NNP￨root￨ROOT fn0￨NNP￨flat￨al0
describ￨NNP￨root￨ROOT ap0￨NNP￨flat￨describ
ground￨NN￨compound￨transport transport￨NN￨root￨ROOT ci0￨.￨punct￨transport
ground￨NN￨compound￨transport transport￨NN￨root￨ROOT ci0￨.￨punct￨transport
what￨WP￨root￨ROOT is￨VBZ￨cop￨what sa￨NNP￨appos￨what
what￨WP￨nsubj￨ap0 is￨VBZ￨cop￨ap0 ap0￨JJ￨root￨ROOT
what￨WP￨nsubj￨ap0 is￨VBZ￨cop￨ap0 ap0￨JJ￨root￨ROOT
onli￨UH￨discourse￨show show￨VB￨root￨ROOT al0￨.￨punct￨show
explain￨VB￨root￨ROOT restrict￨VB￨xcomp￨explain rc0￨.￨punct￨explain
ci0￨NN￨root￨ROOT to￨IN￨case￨c c￨NNP￨nmod￨ci0 i1￨NNP￨nmod￨ci0
what￨WP￨nsubj￨ap0 is￨VBZ￨cop￨ap0 ap0￨JJ￨root￨ROOT
ground￨NN￨compound￨transport transport￨NN￨root￨ROOT ci0￨.￨punct￨transport
airlin￨NN￨compound￨code code￨NN￨compound￨al0 al0￨NN￨root￨ROOT
airport￨NN￨root￨ROOT in￨IN￨case￨ci0 ci0￨NNP￨nmod￨airport
what￨WP￨nsubj￨ap0 is￨VBZ￨cop￨ap0 ap0￨JJ￨root￨ROOT
what￨WP￨nsubj￨ap0 is￨VBZ￨cop￨ap0 ap0￨JJ￨root￨ROOT
ci0￨NN￨root￨ROOT to￨IN￨case￨c c￨NNP￨nmod￨ci0 i1￨NNP￨nmod￨ci0
ground￨NN￨compound￨transport transport￨NN￨root￨ROOT ci0￨.￨punct￨transport
is￨VBZ￨cop￨al0 al0￨PRP￨nsubj￨al0 al0￨JJ￨root￨ROOT
ci0￨NN￨root￨ROOT to￨IN￨case￨c c￨NNP￨nmod￨ci0 i1￨NNP￨nmod￨ci0
ground￨NN￨compound￨transport transport￨NN￨root￨ROOT ci0￨.￨punct￨transport
ci0￨NN￨root￨ROOT to￨IN￨case￨c c￨NNP￨nmod￨ci0 i1￨NNP￨nmod￨ci0
what￨WP￨nsubj￨al0 is￨VBZ￨cop￨al0 al0￨JJ￨root￨ROOT
what￨WP￨nsubj￨al0 is￨VBZ￨cop￨al0 al0￨JJ￨root￨ROOT
what￨WP￨nsubj￨al0 is￨VBZ￨cop￨al0 al0￨JJ￨root￨ROOT
what￨WP￨nsubj￨al0 is￨VBZ￨cop￨al0 al0￨JJ￨root￨ROOT
what￨WP￨nsubj￨al0 is￨VBZ￨cop￨al0 al0￨JJ￨root￨ROOT
