airport￨root
one￨nummod way￨root
ci0￨compound airport￨root
ground￨root ci0￨punct
code￨compound al0￨root
ci0￨compound airport￨root
al0￨root fn0￨flat
describ￨root ap0￨flat
ground￨compound transport￨root ci0￨punct
ground￨compound transport￨root ci0￨punct
what￨root is￨cop sa￨appos
what￨nsubj is￨cop ap0￨root
what￨nsubj is￨cop ap0￨root
onli￨discourse show￨root al0￨punct
explain￨root restrict￨xcomp rc0￨punct
ci0￨root to￨case c￨nmod i1￨nmod
what￨nsubj is￨cop ap0￨root
ground￨compound transport￨root ci0￨punct
airlin￨compound code￨compound al0￨root
airport￨root in￨case ci0￨nmod
what￨nsubj is￨cop ap0￨root
what￨nsubj is￨cop ap0￨root
ci0￨root to￨case c￨nmod i1￨nmod
ground￨compound transport￨root ci0￨punct
is￨cop al0￨nsubj al0￨root
ci0￨root to￨case c￨nmod i1￨nmod
ground￨compound transport￨root ci0￨punct
ci0￨root to￨case c￨nmod i1￨nmod
what￨nsubj is￨cop al0￨root
what￨nsubj is￨cop al0￨root
what￨nsubj is￨cop al0￨root
what￨nsubj is￨cop al0￨root
what￨nsubj is￨cop al0￨root
ground￨compound transport￨root ci0￨punct
where￨root is￨cop ap0￨nsubj
flight￨root from￨case ci0￨nmod
defin￨compound airlin￨root al0￨punct
what￨nsubj restrict￨root rc0￨punct
what￨nsubj is￨cop al0￨root
ci0￨root to￨case c￨nmod i1￨nmod
al0￨compound leav￨compound ci0￨root
airport￨root in￨case ci0￨nmod
ci0￨root to￨case c￨nmod i1￨nmod
ground￨compound transport￨root ci0￨punct
ci0￨root to￨case c￨nmod i1￨nmod
ci0￨root to￨case c￨nmod i1￨nmod
name￨root of￨case airport￨nmod
ground￨compound transport￨root ci0￨punct
ci0￨root to￨case c￨nmod i1￨nmod
flight￨root to￨case ci0￨nmod
what￨nsubj is￨cop ap0￨root
what￨nsubj is￨cop al0￨root
is￨root ap0￨nsubj ci0￨punct
ground￨compound transport￨root ci0￨punct
ci0￨root to￨case c￨nmod i1￨nmod
what￨root is￨cop sa￨appos
ci0￨root to￨case c￨nmod i1￨nmod
ground￨compound transport￨root ci0￨punct
ci0￨amod ground￨compound transport￨root
ground￨compound transport￨root ci0￨punct
what￨nsubj is￨cop ap0￨root
train￨root to￨case ci0￨obl
flight￨root to￨case ci0￨nmod
what￨nsubj is￨cop ap0￨root
what￨nsubj is￨cop al0￨root
what￨nsubj is￨cop ap0￨root
what￨nsubj is￨cop ap0￨root
explain￨root restrict￨xcomp rc0￨punct
ci0￨root to￨case c￨nmod i1￨nmod
ci1￨root to￨case ci0￨obl
what￨nsubj is￨cop ap0￨root
defin￨compound airlin￨root al0￨punct
ci0￨amod ground￨compound transport￨root
ci0￨amod ground￨compound transport￨root
what￨nsubj is￨cop al0￨root
ci0￨root to￨case ci1￨obl da0￨punct
show￨root me￨obj airlin￨advmod abbrevi￨obj
what￨root do￨aux these￨det cost￨nsubj
show￨root me￨obj airlin￨advmod abbrevi￨obj
